Country,Exchange,Ticker,Full Company Name,Sector,Industry,ISIC_Section,ISIC_Description,Incorporated in,Market_Tier,Stock_Price,Volume,Market_Cap
Indonesia,IDX,BNII,PT Bank Maybank Indonesia Tbk,Keuangan,Bank,K,Financial and insurance activities,INDONESIA,,204.0,311300,15547900100608
Indonesia,IDX,BNLI,Bank Permata Tbk,Keuangan,Bank,K,Financial and insurance activities,INDONESIA,,2530.0,63300,91538721865728
Indonesia,IDX,BOAT,PT Newport Marine Services Tbk,Energi,"Pendukung Minyak, Gas & Batu Bara",B,Mining and quarrying,INDONESIA,,130.0,2779800,455218429952
Indonesia,IDX,BOBA,PT Formosa Ingredient Factory Tbk,Barang Konsumen Primer,Makanan Olahan,C,Manufacturing,INDONESIA,,151.0,193300,174518255616
Indonesia,IDX,BOGA,PT Bintang Oto Global Tbk,Barang Konsumen Non-Primer,Ritel Khusus,C,Manufacturing,INDONESIA,,1430.0,2100,5439042355200
Indonesia,IDX,BOLA,PT Bali Bintang Sejahtera Tbk.,Barang Konsumen Non-Primer,Pariwisata & Rekreasi,I,Accommodation and food service activities,INDONESIA,,156.0,3387100,936000028672
Indonesia,IDX,BOLT,PT Garuda Metalindo Tbk.,Barang Konsumen Non-Primer,Komponen Otomotif,C,Manufacturing,INDONESIA,,920.0,16400,2156249874432
Indonesia,IDX,BOSS,PT Borneo Olah Sarana Sukses Tbk.,Energi,Batu Bara,B,Mining and quarrying,INDONESIA,,50.0,0,70000001024
Indonesia,IDX,BPFI,PT Woori Finance Indonesia Tbk,Keuangan,Pembiayaan Konsumen,K,Financial and insurance activities,INDONESIA,,274.0,2800,732674719744
Indonesia,IDX,BPII,PT Batavia Prosperindo Internasional Tbk.,Keuangan,Perusahaan Holding & Investasi,K,Financial and insurance activities,INDONESIA,,468.0,581000,4625783586816
