Ticker,Company_name,Market_Cap,Stock_price,Volume,Industry,Sector,Revenue,Rev. Growth,Net Income,Free_Cash_Flow
MERK,PT Merck Tbk,1.36T,"3,040.00","43,7",Drug Manufacturers - Specialty & Generic,Healthcare,1.10T,17.39%,178.51B,182.37B
KONI,PT Perdana Bangun Pusaka Tbk,1.18T,"3,780.00","1,892,900",Specialty Retail,Consumer Discretionary,286.97B,2.50%,16.94B,-
GOTO,PT GoTo Gojek Tokopedia Tbk,65.62T,62.00,"3,207,484,708",Software - Infrastructure,Technology,17.53T,9.98%,"-1,617.33B",-154.53B
RSCH,PT Charlie Hospital Semarang Tbk,1.02T,384.00,"5,672,000",Medical Care Facilities,Healthcare,58.84B,23.25%,-18.17B,-101.68B
ARTA,PT Arthavest Tbk,1.44T,"3,110.00","3,5",Lodging,Consumer Discretionary,92.64B,3.10%,4.77B,9.82B
DSSA,PT Dian Swastatika Sentosa Tbk,569.41T,"88,200.0","1,749,500",Thermal Coal,Energy,45.78T,-15.75%,3.51T,794.99B
INRU,PT Toba Pulp Lestari Tbk,993.05B,715.00,"9,4",Paper & Paper Products,Materials,1.55T,-13.76%,-524.53B,-19.13B
AKRA,PT AKR Corporindo Tbk,25.15T,"1,235.00","36,271,600",Oil & Gas Refining & Marketing,Energy,42.51T,4.40%,2.41T,2.79T
PGEO,PT Pertamina Geothermal Energy Tbk,53.10T,"1,270.00","32,903,900",Utilities - Renewable,Utilities,7.01T,3.92%,2.18T,2.67T
PNLF,PT Panin Financial Tbk,7.62T,238.00,"30,811,000",Banks - Regional,Financials,10.70T,8.95%,1.68T,749.01B
BNBA,PT Bank Bumi Arta Tbk,2.08T,615.00,"117,2",Banks - Regional,Financials,313.05B,-16.59%,19.39B,-276.83B
BANK,PT Bank Aladin Syariah Tbk,11.76T,845.00,"5,196,200",Banks - Regional,Financials,740.75B,98.93%,133.43B,505.72B
PNGO,PT PINAGO UTAMA Tbk,2.38T,"3,050.00","53,2",Farm Products,Consumer Staples,2.32T,24.45%,294.67B,264.25B
ASII,PT Astra International Tbk,255.05T,"6,250.00","43,439,100",Conglomerates,Industrials,328.20T,1.93%,32.67T,27.24T
BSSR,PT Baramulti Suksessarana Tbk,10.91T,"4,170.00","3,035,800",Thermal Coal,Energy,12.43T,-25.27%,1.37T,1.50T
WINS,PT Wintermar Offshore Marine Tbk,1.93T,440.00,"1,922,600",Marine Shipping,Industrials,1.32T,-4.27%,200.81B,-173.49B
MEDC,PT Medco Energi Internasional Tbk,33.08T,"1,340.00","34,003,500",Oil & Gas Exploration & Production,Energy,39.40T,1.97%,3.00T,8.34T
STRK,PT Lovina Beach Brewery Tbk,1.76T,170.00,"21,252,400",Beverages - Brewers,Consumer Staples,12.93B,-50.24%,-20.39B,-13.80B
PTPP,PT PP (Persero) Tbk,2.34T,378.00,"3,403,000",Engineering & Construction,Industrials,16.54T,-18.27%,153.92B,333.20B
PPRE,PT PP Presisi Tbk,1.22T,117.00,"26,603,800",Engineering & Construction,Industrials,3.84T,8.35%,187.63B,571.74B
HATM,PT Habco Trans Maritima Tbk,2.43T,280.00,"31,454,900",Marine Shipping,Industrials,966.02B,29.26%,138.36B,-606.91B
DUTI,PT Duta Pertiwi Tbk,7.97T,"4,280.00","1,5",Real Estate - Development,Real Estate,2.92T,-29.79%,340.53B,-119.05B
SURE,PT Super Energy Tbk,3.98T,"2,660.00",1,Oil & Gas Integrated,Energy,437.11B,29.29%,-112.03B,-234.02B
TBIG,PT Tower Bersama Infrastructure Tbk,49.71T,"2,200.00","3,349,700",Telecom Services,Communication Services,6.90T,1.30%,1.30T,3.62T
CAMP,"PT Campina Ice Cream Industry, Tbk.",1.29T,220.00,"1,889,900",Packaged Foods,Consumer Staples,1.17T,4.86%,84.96B,10.00B
BYAN,PT Bayan Resources Tbk.,602.50T,"18,075.0","38,4",Thermal Coal,Energy,56.87T,3.16%,13.75T,15.51T
HRTA,PT Hartadinata Abadi Tbk,5.60T,"1,245.00","79,152,200",Luxury Goods,Consumer Discretionary,30.13T,79.18%,716.02B,220.20B
GZCO,PT Gozco Plantations Tbk,1.63T,272.00,"47,666,500",Farm Products,Consumer Staples,969.51B,55.67%,94.49B,383.54B
SINI,PT Singaraja Putra Tbk,2.84T,"5,900.00","94,7",Lumber & Wood Production,Materials,405.22B,4.00%,-50.04B,-121.21B
PWON,PT Pakuwon Jati Tbk,17.92T,372.00,"26,875,500",Real Estate - Diversified,Real Estate,7.00T,9.12%,2.14T,3.01T
ANTM,PT Aneka Tambang Tbk,71.61T,"2,980.00","115,174,300",Gold,Materials,98.02T,83.73%,7.42T,6.98T
TINS,PT TIMAH Tbk,21.75T,"2,920.00","230,432,900",Other Industrial Metals & Mining,Materials,9.21T,-10.32%,880.29B,-22.74B
PORT,PT Nusantara Pelabuhan Handal Tbk,3.43T,"1,220.00",15,Marine Shipping,Industrials,1.28T,12.52%,135.70B,239.34B
CYBR,PT ITSEC Asia Tbk,8.86T,"1,340.00","16,741,500",Software - Infrastructure,Technology,455.22B,91.44%,54.30B,-13.58B
RELI,PT Reliance Sekuritas Indonesia Tbk,1.19T,655.00,31,Capital Markets,Financials,43.29B,-23.79%,3.75B,-84.36B
DRMA,PT Dharma Polimetal Tbk,4.94T,"1,035.00","831,3",Auto Parts,Consumer Discretionary,5.88T,10.53%,587.09B,470.54B
BBRI,PT Bank Rakyat Indonesia (Persero) Tbk,597.84T,"3,980.00","139,859,100",Banks - Regional,Financials,136.12T,0.55%,55.87T,2.05T
MEGA,PT Bank Mega Tbk,38.63T,"3,290.00","24,3",Banks - Regional,Financials,6.58T,-3.48%,2.83T,"-23,910.15B"
LTLS,PT Lautan Luas Tbk,1.27T,870.00,"95,9",Specialty Chemicals,Materials,8.41T,9.82%,157.49B,-100.63B
DOOH,PT Era Media Sejahtera Tbk,1.05T,136.00,"142,474,200",Advertising Agencies,Communication Services,167.11B,5.13%,2.67B,-40.26B
JPFA,PT Japfa Comfeed Indonesia Tbk,28.37T,"2,440.00","37,384,200",Farm Products,Consumer Staples,57.63T,5.37%,3.33T,3.29T
CPIN,PT Charoen Pokphand Indonesia Tbk,77.56T,"4,810.00","7,050,100",Farm Products,Consumer Staples,68.36T,6.48%,4.69T,4.61T
OMRE,PT Indonesia Prima Property Tbk,1.39T,472.00,100,Real Estate Services,Real Estate,31.89B,-22.47%,-142.48B,-
UNVR,PT Unilever Indonesia Tbk,102.17T,"2,690.00","41,343,200",Household & Personal Products,Consumer Staples,35.33T,-0.53%,3.69T,3.53T
FISH,PT FKS Multi Agro Tbk,8.64T,"1,800.00","66,7",Farm Products,Consumer Staples,19.68T,-13.99%,188.14B,352.71B
ASGR,PT Astra Graphia Tbk,1.61T,"1,195.00","462,1",Specialty Business Services,Industrials,3.04T,3.71%,235.36B,474.16B
CMNP,PT Citra Marga Nusaphala Persada Tbk,8.55T,"1,385.00","502,5",Infrastructure Operations,Industrials,4.79T,-33.46%,872.33B,512.31B
PBID,PT Panca Budi Idaman Tbk,3.71T,492.00,"270,9",Packaging & Containers,Consumer Discretionary,5.25T,3.16%,401.23B,416.20B
TRUE,PT Triniti Dinamik Tbk,946.36B,125.00,"58,889,400",Real Estate - Development,Real Estate,52.64B,-48.97%,-59.46B,-3.12B
DOID,PT Buma Internasional Grup Tbk,2.43T,326.00,"6,131,000",Thermal Coal,Energy,26.48T,-10.90%,"-1,768.66B",-171.96B
TSPC,PT Tempo Scan Pacific Tbk,13.35T,"2,960.00","1,221,200",Drug Manufacturers - Specialty & Generic,Healthcare,13.64T,1.00%,1.50T,1.20T
SGER,PT Sumber Global Energy Tbk,8.34T,500.00,"42,516,500",Thermal Coal,Energy,9.09T,-33.53%,279.55B,-955.34B
ARGO,PT Argo Pantes Tbk,3.24T,"1,050.00",15,Textile Manufacturing,Consumer Discretionary,108.52B,8.35%,-15.42B,54.19B
ULTJ,PT Ultrajaya Milk Industry & Trading Company Tbk,16.22T,"1,550.00","6,405,500",Beverages - Non-Alcoholic,Consumer Staples,8.53T,-2.72%,1.22T,149.03B
ROTI,PT Nippon Indosari Corpindo Tbk,4.47T,795.00,"107,8",Packaged Foods,Consumer Staples,3.70T,-6.52%,250.48B,317.57B
CENT,PT Centratama Telekomunikasi Indonesia Tbk,4.18T,134.00,"6,114,900",Telecom Services,Communication Services,2.52T,1.68%,"-2,461.11B",1.31T
UNIC,PT Unggul Indah Cahaya Tbk,3.56T,"9,300.00","112,8",Chemicals,Materials,6.58T,19.86%,462.74B,1.07T
SMBR,PT Semen Baturaja (Persero) Tbk,2.84T,288.00,"6,058,300",Building Materials,Materials,2.47T,23.30%,239.95B,246.53B
ACST,PT Acset Indonusa Tbk,2.32T,131.00,"3,067,800",Engineering & Construction,Industrials,2.88T,0.04%,-365.64B,"-1,665.75B"
BSIM,PT Bank Sinarmas Tbk,17.35T,880.00,"32,9",Banks - Regional,Financials,3.02T,11.60%,312.60B,1.39T
HRUM,PT Harum Energy Tbk,14.20T,"1,030.00","58,701,600",Thermal Coal,Energy,22.52T,7.65%,357.85B,"-10,353.17B"
CASS,PT Cahaya Aero Services Tbk.,5.91T,"2,830.00","31,8",Airports & Air Services,Industrials,3.09T,17.67%,472.84B,788.15B
ATIC,PT Anabatic Technologies Tbk,1.81T,820.00,"17,194,700",Information Technology Services,Technology,9.09T,-25.00%,234.84B,348.21B
INDF,PT Indofood Sukses Makmur Tbk,62.56T,"7,125.00","10,041,400",Packaged Foods,Consumer Staples,119.82T,4.41%,7.76T,11.52T
SHID,PT Hotel Sahid Jaya International Tbk,973.81B,870.00,"10,1",Lodging,Consumer Discretionary,124.18B,-18.48%,-51.64B,-88.89B
MTEL,PT Dayamitra Telekomunikasi Tbk.,45.25T,560.00,"3,364,900",Telecom Services,Communication Services,9.30T,-0.07%,2.12T,4.06T
AMAR,PT Bank Amar Indonesia Tbk,4.07T,226.00,"423,8",Banks - Regional,Financials,904.75B,16.02%,237.37B,-668.78B
BMAS,PT Bank Maspion Indonesia Tbk,12.04T,670.00,"7,9",Banks - Regional,Financials,405.91B,-33.11%,-270.77B,1.11T
AUTO,PT Astra Otoparts Tbk,12.34T,"2,560.00","6,893,100",Auto Parts,Consumer Discretionary,19.71T,5.25%,2.07T,1.05T
MAYA,PT Bank Mayapada Internasional Tbk,2.75T,234.00,"4,528,800",Banks - Regional,Financials,2.78T,28.76%,17.60B,"-6,069.58B"
BSBK,PT Wulandari Bangun Laksana Tbk,1.73T,70.00,"31,068,400",Real Estate - Development,Real Estate,375.69B,-0.02%,341.60B,-287.71M
BHIT,PT MNC Asia Holding Tbk,2.67T,33.00,"14,595,800",Entertainment,Communication Services,14.86T,-1.44%,175.27B,1.96T
BREN,PT Barito Renewables Energy Tbk,"1,304.36T","9,750.00","53,216,800",Utilities - Renewable,Utilities,10.23T,3.72%,2.38T,1.41T
TFCO,PT Tifico Fiber Indonesia Tbk,2.41T,500.00,200,Textile Manufacturing,Consumer Discretionary,3.21T,4.37%,91.90B,278.69B
MYOR,PT Mayora Indah Tbk,47.25T,"2,120.00","22,832,100",Packaged Foods,Consumer Staples,37.59T,9.82%,2.83T,1.22T
BJTM,PT Bank Pembangunan Daerah Jawa Timur Tbk,8.26T,550.00,"9,054,100",Banks - Regional,Financials,6.07T,16.46%,1.41T,"-4,241.70B"
GJTL,PT. Gajah Tunggal Tbk,3.64T,"1,045.00","4,587,100",Auto Parts,Consumer Discretionary,17.71T,-0.73%,988.06B,-852.86B
LPCK,PT Lippo Cikarang Tbk,3.11T,605.00,"141,7",Real Estate - Development,Real Estate,4.30T,256.49%,256.67B,-773.44B
PACK,PT Abadi Nusantara Hijau Investama Tbk,4.23T,"2,660.00","1,335,700",Packaging & Containers,Consumer Discretionary,45.70B,-19.26%,2.20B,-14.33B
PNBN,PT Bank Pan Indonesia Tbk,24.67T,"1,030.00","3,644,600",Banks - Regional,Financials,9.45T,11.82%,2.84T,820.69B
BMRI,PT Bank Mandiri (Persero) Tbk,445.20T,"4,770.00","102,878,900",Banks - Regional,Financials,140.00T,4.71%,51.50T,"-123,987.69B"
CUAN,PT Petrindo Jaya Kreasi Tbk,233.82T,"2,080.00","65,119,400",Thermal Coal,Energy,17.56T,85.46%,2.45T,"-9,295.65B"
TUGU,PT Asuransi Tugu Pratama Indonesia Tbk,3.66T,"1,025.00","1,947,400",Insurance - Diversified,Financials,3.41T,19.31%,569.35B,97.07B
BNII,PT Bank Maybank Indonesia Tbk,15.55T,204.00,"744,2",Banks - Regional,Financials,8.70T,12.47%,1.55T,-621.02B
BCIC,PT Bank JTrust Indonesia Tbk,2.55T,141.00,"252,9",Banks - Regional,Financials,1.13T,1.06%,-94.65B,-408.63B
BUAH,PT Segar Kumala Indonesia Tbk,1.42T,700.00,"1,492,900",Food Distribution,Consumer Staples,3.03T,50.75%,60.77B,59.16B
PALM,PT Provident Investasi Bersama Tbk,6.20T,388.00,"1,341,400",Asset Management,Financials,200.84B,-,-304.02B,1.47T
JSPT,PT Jakarta Setiabudi Internasional Tbk,7.93T,"3,420.00","12,1",Real Estate Services,Real Estate,2.48T,11.84%,255.98B,731.27B
