Country,Exchange,Ticker,Full Company Name,Sector,Industry,ISIC_Section,ISIC_Description,Incorporated in,Market_Tier,Stock_Price,Volume,Market_Cap,MCap_USD_B,log_MCap,Exchange_Name,Country_RU,has_mcap,has_price,has_volume,has_isic,Revenue,Revenue_Growth,Net_Income,Free_Cash_Flow,Profit_Margin,FCF_Margin,Is_Profitable,PE_Ratio,Dividend_Yield,Cluster
Indonesia,IDX,TNCA,PT Trimuda Nuansa Citra Tbk.,Transportasi & Logistik,Logistik & Pengantaran,H,Transportation and storage,INDONESIA,,170.0,121200.0,71678803968.0,0.004479925248,24.99546091975959,IDX,Индонезия,1,1,1,True,73310000000.0,9.74,468710000.0,2410000000.0,0.6393534306370209,3.287409630336925,1.0,,,0
Indonesia,IDX,TOBA,PT TBS Energi Utama Tbk,Energi,Batu Bara,B,Mining and quarrying,INDONESIA,,525.0,10921600.0,4335136407552.0,0.27094602547200003,29.097774192229313,IDX,Индонезия,1,1,1,True,6630000000000.0,-15.05,-2232340000000.0,-608960000000.0,-33.67028657616893,-9.184917043740572,0.0,,,0
Indonesia,IDX,TOOL,PT Rohartindo Nusantara Luas Tbk,Barang Konsumen Non-Primer,Ritel Khusus,G,Wholesale and retail trade,INDONESIA,,56.0,6090500.0,114801139712.0,0.007175071232,25.466467248587474,IDX,Индонезия,1,1,1,True,63250000000.0,-48.73,-6150000000.0,-39140000000.0,-9.723320158102766,-61.88142292490119,0.0,,,0
Indonesia,IDX,TOPS,PT Totalindo Eka Persada Tbk.,Infrastruktur,Konstruksi Bangunan,F,Construction,INDONESIA,,1.0,0.0,33329999872.0,0.002083124992,24.229723725425675,IDX,Индонезия,1,1,0,True,109360000000.0,-77.0,-284970000000.0,-11320000000.0,-200.0,-10.351133869787857,0.0,,,2
Indonesia,IDX,TOSK,PT Topindo Solusi Komunika Tbk.,Teknologi,Aplikasi & Jasa Internet,J,Information and communication,INDONESIA,,60.0,13963100.0,262516621312.0,0.016407288832,26.293580236257316,IDX,Индонезия,1,1,1,True,1940000000000.0,-19.08,7580000000.0,-3060000000.0,0.3907216494845361,-0.1577319587628866,1.0,,,0
Indonesia,IDX,TOTL,Total Bangun Persada Tbk,Infrastruktur,Konstruksi Bangunan,F,Construction,INDONESIA,,995.0,6171600.0,3392949977088.0,0.21205937356800003,28.852720858647604,IDX,Индонезия,1,1,1,True,3650000000000.0,15.25,380340000000.0,578450000000.0,10.42027397260274,15.847945205479451,1.0,,,0
Indonesia,IDX,TOTO,Surya Toto Indonesia Tbk,Perindustrian,Produk & Perlengkapan Bangunan,C,Manufacturing,INDONESIA,,272.0,408700.0,2807040049152.0,0.175440003072,28.663151680806084,IDX,Индонезия,1,1,1,True,2420000000000.0,5.78,373680000000.0,256130000000.0,15.441322314049588,10.583884297520662,1.0,,,0
Indonesia,IDX,TOWR,Sarana Menara Nusantara Tbk,Infrastruktur,Jasa Telekomunikasi Nirkabel,J,Information and communication,INDONESIA,,478.0,29718500.0,28248893292544.0,1.765555830784,30.97207539726845,IDX,Индонезия,1,1,1,True,12970000000000.0,4.04,3440000000000.0,6680000000000.0,26.522744795682346,51.50346954510409,1.0,,,0
Indonesia,IDX,TPIA,PT Chandra Asri Pacific Tbk,Barang Baku,Barang Kimia,C,Manufacturing,INDONESIA,,5125.0,11349900.0,443332530536448.0,27.708283158528,33.725341237654554,IDX,Индонезия,1,1,1,True,97340000000000.0,219.3,21490000000000.0,-1988030000000.0,22.077254982535443,-2.0423566878980894,1.0,,,0
Indonesia,IDX,TPMA,Trans Power Marine Tbk,Energi,Batu Bara,B,Mining and quarrying,INDONESIA,,585.0,3200000.0,2045440950272.0,0.127840059392,28.346634505784774,IDX,Индонезия,1,1,1,True,1850000000000.0,-17.14,390730000000.0,-334050000000.0,21.120540540540542,-18.056756756756755,1.0,,,0
