Country,Exchange,Ticker,Full Company Name,ISIC_Section,Market_Cap_USD,Volume,turnover,KMeans,Hierarchical,GMM,DBSCAN
Indonesia,IDX,AADI,PT Adaro Andalan Indonesia Tbk,D,5110147579.904,27221600.0,0.0053269694415579655,0,1,0,0
Indonesia,IDX,AALI,Astra Agro Lestari Tbk,C,866109751.296,1047100.0,0.0012089691848327258,0,1,0,0
Indonesia,IDX,ABBA,Mahaka Media Tbk,C,10085725.184,337000.0,0.03341356162813329,1,0,1,0
Indonesia,IDX,ABDA,Asuransi Bina Dana Arta Tbk,K,104761122.816,500.0,4.772762896768378e-06,0,1,0,0
Indonesia,IDX,ABMM,ABM Investama Tbk,D,492128239.616,890000.0,0.0018084717119555122,0,1,0,0
Indonesia,IDX,ACES,PT Aspirasi Hidup Indonesia Tbk,C,409456246.784,25871300.0,0.06318452875783785,1,0,1,0
Indonesia,IDX,ACRO,PT Samcro Hyosung Adilestari Tbk.,C,14094216.192,4168700.0,0.2957738084340008,1,0,1,0
Indonesia,IDX,ACST,PT Acset Indonusa Tbk.,F,117097930.752,637500.0,0.005444161104350784,0,1,1,0
Indonesia,IDX,ADCP,PT Adhi Commuter Properti Tbk,L,69444444.16,2432700.0,0.03503088014348649,1,0,1,0
Indonesia,IDX,ADES,Akasha Wira International Tbk Tbk,C,558558543.872,37000.0,6.62419372256151e-05,0,1,0,0
Indonesia,IDX,ADHI,PT Adhi Karya (Persero) Tbk.,F,108247965.696,1768400.0,0.016336565667814173,0,1,1,0
Indonesia,IDX,ADMF,Adira Dinamika Multi Finance Tbk,K,641727528.96,67200.0,0.00010471734025327856,0,1,0,0
Indonesia,IDX,ADMG,Polychem Indonesia Tbk,C,48614744.064,295700.0,0.006082516851486843,0,1,0,0
